"","Abies","Alnus","Amaranthaceae","Apiaceae","Artemisia","Asteroideae","Betula","Boraginaceae","Brassicaceae","Buxus","Cannabaceae","Carpinus","Caryophyllaceae","Centaurea-type","Cichorioideae","Cistus","Convolvulus","Coriaria myrtifolia","Corylus","Crassulaceae","Cyperaceae","Dipsacoideae","Ephedra","Ericaceae","Euphorbia","Fabaceae","Fagus","Geraniaceae","Hedera","Helianthemum","Juglans","Juniperus","Lamiaceae","Ligustrum","Lotus","Lygeum-type","Lythrum","Malvaceae","Myriophyllum","Myrtaceae","Nuphar","Nymphaea","Olea","Phillyrea","Pinus","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum","Populus","Potamogeton","Quercus ilex-type","Quercus robur-type","Ranunculaceae","Rhamnus","Rosaceae","Rubiaceae","Rumex","Salix","Sparganium-type","Tamarix","Thalictrum","Thymelaea","Tilia","Typha latifolia-type","Ulmus","Urticaceae","Vitis","Cal_yrs_BP","min","max"
"S411767","","","","25","2","126","1","","","27","","","","","2","","","","17","","1","3","40","18","","","","","","","","33","2","","","","","","","","","","","","11","","15","15","1","1","","","4","1","","","","","","","","","","4","","","","","","6553","6679","6420"
"S411768","","1","5","52","4","301","","","","27","","","","","1","","","","19","","2","3","69","29","","","","","","","","23","","","","","","","","","","","1","","23","1","15","10","","3","","2","8","10","","","","","","","5","","","11","","","1","","1","6579","6709","6445"
"S411769","","1","3","37","2","193","","","","22","","","","","","","","","6","","1","","34","18","","1","","","","","","32","","","","","","","","","","","","","11","","2","4","","","","1","1","2","","","","","","","1","","","3","","","","","","6606","6739","6470"
"S411770","","6","2","58","4","245","1","","","26","","","","","","","","","14","1","4","","63","11","","1","","","","","","38","","","","","","","","","","","4","","28","1","11","16","","1","","","7","4","","","","","","","6","","","9","","","","","","6633","6770","6495"
"S411771","","2","2","43","2","296","","","","21","","","","","2","","","","8","","2","","61","14","","","","","","","","36","","","","","","","","","1","","","","11","2","10","17","1","","","","3","5","","","","","","","2","","","13","1","","","","","6659","6799","6519"
"S411772","","","","39","","213","","","","23","","","","","","","","","19","","1","","31","12","","2","","","","","","29","1","","","","","","","","","","","","3","","2","3","","","","2","2","1","","","","","","","2","","","2","","","","","","6686","6830","6545"
"S411773","","3","","130","","319","1","","","51","","","","","","","","","11","","3","","43","6","","3","","","","","","47","","","","","","","","2","","","","","18","","22","14","1","","","","","3","","","","","","","2","","","5","1","","1","","","6712","6860","6570"
"S411774","","10","2","153","","514","","","","51","","","","","3","","","","5","1","10","","59","29","","11","","","","","","41","4","","","1","","","","","","","","","21","","18","39","2","1","","","","4","","","","","","","","","","11","","","","","1","6746","6898","6601"
"S411775","","","","54","","267","","","1","9","1","","","1","","","","","8","","3","","41","27","","4","","","","","","23","2","","","","","1","","","","","","","5","","1","12","1","","","1","3","2","","","","","","","1","","","7","","","","","","6779","6935","6632"
"S411776","","6","","68","2","292","1","","","17","2","","","","2","","","","7","","2","3","53","23","","","","","","","","62","4","","","","","","","","","","","","21","","27","19","3","","","","12","4","","","","","","1","8","","","3","1","","1","","","6812","6972","6662"
"S411777","","","5","108","4","490","","","3","25","","","","","","","","","17","","3","","78","30","","3","","","","","","58","3","","","1","","","","2","","","2","","19","","18","26","","","","","6","6","","","","","","1","","","","15","2","","","","","6846","7009","6692"
"S411778","","5","5","104","","313","1","","1","39","","","","","","1","","","7","","1","","39","13","","1","","","","","","37","","","","","","","","","1","","","","14","1","1","12","","","","2","6","3","","","","","","","","","","5","2","","2","","","6879","7047","6723"
"S411779","","11","","81","3","382","1","","","9","","","3","","","","","","18","","3","","52","16","","3","","","","","","55","","","","","","","","","","","2","","14","","13","12","1","","","","5","4","","","","","","1","4","","","15","","","","","","6912","7084","6752"
"S411780","","4","","134","2","357","","","","22","","","","","","","","","14","","11","","68","15","","3","","","","","","40","4","","","","","","","","","","1","","17","","5","17","","","","","3","3","","","","","","","4","","","11","","","","","","6934","7110","6773"
"S411781","","","5","30","2","69","","","","56","","","","","","","2","","8","","15","","32","2","","6","","","","","","47","5","","","","","","","","","","2","","","1","1","35","","","","7","3","","","","","1","","","12","","","4","","","1","","","6968","7147","6802"
"S411782","","1","","51","3","221","1","","","19","","","","","","","","","8","","4","","30","49","","","","","","","","47","2","","","","","","","","","","","","18","","6","17","1","","","","1","3","","","","","","","3","","","7","3","","","","","7001","7185","6832"
"S411783","","2","","68","","165","1","","","14","1","","","","","","","","","","2","","45","18","","2","","","","","","23","","","","","","","","","","","1","","14","","9","6","","","","","3","2","3","","","","","1","","","","1","2","","","","","7034","7223","6861"
"S411784","","4","1","21","3","53","","","","58","","","","","2","","1","","4","","12","","29","2","","","","","","","","48","5","","","","","","","","","","3","","35","4","","8","","","","1","7","9","","","","","","1","14","","","4","","","1","","","7067","7260","6890"
"S411785","","2","","26","2","81","","","","25","","","1","","","","","","10","1","3","","26","4","","5","","","","","","39","","","","","","","","1","","","","","16","","10","17","","","","","4","4","","","","","","","8","","","5","","","","","","7097","7286","6923"
"S411786","","","4","32","","153","","","","61","","","","","2","","","","11","","2","","40","11","","","","","3","","","53","1","","","","","","","","","","","","15","","5","5","","1","","","6","7","","","","","","","13","","","8","","","","","","7127","7313","6956"
"S411787","","","","23","","74","","1","","63","","","","","2","","","","7","","6","","38","","","1","","1","","","","41","6","","","","","","","","","","1","","19","2","2","6","1","","","","1","2","","","","","","","8","","","4","","","","","","7147","7331","6978"
"S411788","","6","2","40","5","149","","","","85","","","","","1","","","","12","","2","","43","","","1","","","","","","55","1","","","","","1","","","","","","","22","2","1","20","","","","1","3","","1","","","1","","","18","","","7","4","","","","","7177","7358","7011"
"S411789","","5","2","45","","147","","","2","73","","","","","","","","","14","","8","","61","5","","","","","","","","46","5","","","","","","","","","","","","28","1","4","15","","","","","6","","","","","","","","13","","","2","","","","","","7206","7385","7044"
"S411790","","1","","39","4","103","","","1","53","","","1","","","","","","8","","11","","48","2","","","","","","","1","23","","","","","","1","","","","","","","18","1","3","9","1","","","","4","2","","","","","","","16","","","4","1","","1","","","7236","7412","7077"
"S411791","","","3","26","","86","","","","46","","","","","","","","","26","","2","","35","2","","","","","","","","51","","","","","","","","","","","","","28","","5","9","","","","","3","2","","","","","","2","3","","","8","","","","","","7266","7439","7109"
"S411792","","","2","26","3","78","","","","58","","","","","","","","","12","","3","","33","1","","","","","1","","","47","","","","","","","","","","","2","","21","","7","14","1","","","","5","2","","","","","","1","14","","","4","","","","","","7296","7465","7140"
"S411793","","1","2","61","1","89","","","1","71","","","","","","","","","20","","11","","21","2","","","","","","","","42","","","","","","","","","","","","","11","1","","26","","","1","","6","2","","","","","","","5","","","7","","","1","","","7326","7492","7172"
"S411794","","2","2","15","","104","","","","41","","","","","2","","","","10","","7","","25","4","","","","","","","","42","","","","","","","","","","","","","34","","8","8","3","","","1","3","1","","","","","","1","6","","","7","","","","","","7345","7509","7192"
"S411795","","2","","46","","134","","","","51","1","","","","","","","","10","","1","","41","1","","","","","1","","","40","","","","","","","","","","","2","1","11","","1","8","","","","","3","","","","","","","","17","","","2","1","","","","","7365","7528","7214"
"S411796","","1","2","50","","109","","","","38","","","","","","1","","","10","","9","","40","","","3","","","","","","42","1","","","","","","","","","","","","13","","","13","","","","","2","","","","","","","","7","","","8","2","","","","","7385","7545","7234"
"S411797","","","","34","","97","","","","61","","","","","","","","","10","","3","","27","","","","","","","","","34","","","","","","","","","","","2","","9","","","12","","2","","","11","","","","","","","","4","","","5","","","","","","7405","7563","7255"
